Clapeyron Database File
DIPPR101 Like Parameters for molar volume (from Perry)
CAS,species,A,B,C,D,E,Tmin,Tmax
108-94-1,cyclohexanone,85.424,-7944.4,-9.2862,4.9957e-6,2.0,242.0,653.0
108-95-2,phenol,95.444,-10113.0,-10.09,6.7603e-18,6.0,314.06,694.25
108-98-5,benzenethiol~|~phenyl mercaptan,77.765,-8455.1,-7.7404,4.3089e-18,6.0,258.27,689.0
109-52-4,bucooh~|~n-bucooh~|~pentanoic acid~|~n-pentanoic acid,101.7,-10955.0,-10.829,7.188e-18,6.0,239.15,639.16
109-60-4,propylacetate~|~n-propylacetate~|~propyl ethanoate~|~n-propylethanoate,115.16,-8433.9,-13.934,1.0346e-5,2.0,178.15,549.73
109-66-0,pentane~|~n-pentane,78.741,-5420.3,-8.8253,9.6171e-6,2.0,143.42,469.7
109-67-1,pentene~|~1-pentene,46.994,-4289.5,-3.7345,2.5424e-17,6.0,108.02,464.8
109-74-0,butyronitrile~|~butanenitrile~|~n-butyronitrile,66.32,-6714.9,-6.3087,1.3516e-17,6.0,161.25,582.25
109-79-5,butanethiol~|~1-butanethiol~|~butyl mercaptan~|~n-butyl mercaptan,65.382,-6262.4,-6.2585,1.4943e-17,6.0,157.46,570.1
109-89-7,diethylamine,49.314,-4949.0,-3.9256,9.1978e-18,6.0,223.35,496.6
109-94-4,ethylformate~|~ethyl methanoate,73.833,-5817.0,-7.809,6.32e-6,2.0,193.55,508.4
109-99-9,thf~|~tetrahydrofuran,54.898,-5305.4,-4.7627,1.4291e-17,6.0,164.65,540.15
110-00-9,furan,74.738,-5417.0,-8.0636,7.47e-6,2.0,187.55,490.15
110-01-0,tetrahydrothiophene,75.881,-6910.6,-7.9499,4.4315e-6,2.0,176.99,631.95
110-02-1,thiophene,93.193,-7001.5,-10.738,8.2308e-6,2.0,234.94,579.35
110-15-6,succinicacid,128.65,-16958.0,-13.872,2.1559e-18,6.0,460.65,806.0
110-43-0,2-heptanone,75.494,-7896.5,-7.5047,8.913e-18,6.0,238.15,611.4
110-54-3,hexane~|~n-hexane,104.65,-6995.5,-12.702,1.2381e-5,2.0,177.83,507.6
110-62-3,pentanal~|~1-pentanal~|~valeraldehyde,149.58,-8890.0,-20.697,0.022101,1.0,182.0,566.1
110-66-7,1-pentanethiol~|~pentyl mercaptan~|~n-pentyl mercaptan,67.309,-6880.8,-6.4449,1.0148e-17,6.0,197.45,598.0
110-74-7,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate,104.08,-7535.9,-12.348,9.602e-6,2.0,180.25,538.0
110-82-7,cyclohexane,51.087,-5226.4,-4.2278,9.7554e-18,6.0,279.69,553.8
110-83-8,cyclohexene,88.184,-6624.9,-10.059,8.2566e-6,2.0,169.67,560.4
111-13-7,2-octanone,63.775,-7711.3,-5.7359,3.0902e-18,6.0,252.85,632.7
111-14-8,heptanoic acid~|~n-heptanoicacid,120.47,-13106.0,-13.31,5.8384e-18,6.0,265.83,677.3
111-27-3,1-hexanol~|~hexan-1-ol,135.421,-12288.0,-15.732,1.2701e-17,6.0,228.55,611.3
111-31-9,1-hexanethiol~|~hexyl mercaptan~|~n-hexyl mercaptan,68.467,-7390.5,-6.5456,7.7611e-18,6.0,192.62,623.0
111-42-2,diethanolamine,106.38,-13714.0,-11.06,3.2645e-18,6.0,301.15,736.6
111-65-9,octane~|~n-octane,96.084,-7900.2,-11.003,7.1802e-6,2.0,216.38,568.7
111-66-0,octene~|~1-octene~|~oct-1-ene,74.936,-7155.9,-7.5843,1.7106e-17,6.0,171.45,566.9
111-70-6,1-heptanol~|~heptan-1-ol,147.41,-13466.0,-17.353,1.1284e-17,6.0,239.15,632.3
111-71-7,heptanal~|~1-heptanal,92.252,-8349.0,-10.274,5.9252e-6,2.0,229.8,616.8
111-84-2,nonane~|~n-nonane,109.35,-9030.4,-12.882,7.8544e-6,2.0,219.66,594.6
111-87-5,1-octanol~|~octan-1-ol,144.111,-13667.0,-16.826,9.3666e-18,6.0,257.65,652.3
111-88-6,1-octanethiol~|~octyl mercaptan~|~n-octyl mercaptan,78.368,-8855.4,-7.8202,5.6629e-18,6.0,223.95,667.3
112-05-0,nonanoic acid~|~n-nonanoic acid,137.6,-14948.0,-15.618,5.566e-18,6.0,285.55,710.7
112-30-1,1-decanol~|~decan-1-ol,156.239,-15212.0,-18.424,8.5006e-18,6.0,280.05,688.0
112-31-2,decanal~|~1-decanal,201.64,-15133.0,-26.264,1.4625e-5,2.0,267.15,674.2
112-40-3,dodecane~|~n-dodecane,137.47,-11976.0,-16.698,8.0906e-6,2.0,263.57,658.0
112-42-5,1-undecanol,182.571,-17112.0,-22.125,1.12835e-17,6.0,288.45,703.9
112-95-8,eicosane~|~n-eicosane,203.66,-19441.0,-25.525,8.8382e-6,2.0,309.58,768.0
115-07-1,propene~|~propylene,43.905,-3097.8,-3.4425,9.9989e-17,6.0,87.89,364.85
115-10-6,dimethyl ether,44.704,-3525.6,-3.4444,5.4574e-17,6.0,131.65,400.1
115-11-7,isobutene~|~isobutylene~|~2-methylpropene,78.01,-4634.1,-8.9575,1.3413e-5,2.0,132.81,417.9
115-21-9,ethyltrichlorosilane~|~ethyl silicon trichloride,62.614,-6148.2,-5.84,1.09e-17,6.0,167.55,559.95
116-53-0,2-methylbutyric acid~|~2-methylbutanoic acid,85.383,-9575.4,-8.6164,5.6124e-18,6.0,193.0,643.0
118-96-7,"2,4,6-trinitrotoluene~|~2-methyl-1,3,5-trinitrobenzene",302.0,-24324.0,-40.13,1.7403e-5,2.0,354.0,828.0
119-61-9,benzophenone,88.404,-11769.0,-8.9014,1.9334e-18,6.0,321.35,830.0
