Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
(z)-3-hexene~|~cis-3-hexene;84.162;510.2;3.308035305e6;0.635041382;0.871717046;1.149399692
1,1,2-trimethylcyclopentane;112.216;579.0;3.061566699e6;0.858236688;0.908510237;0.861406914
2,3-dihydro-1,1,4,6-tetramethyl-1h-indene;174.287;724.0;2.788964887e6;0.32528339;0.814439058;2.254000637
sulfur hexafluoride;146.050419;318.666;3.76649177e6;0.746297918;0.977519961;0.940250209
3,4-dithiaheptane~|~ethylpropyldisulfide;136.271;657.4;3.378985564e6;1.069564381;0.999853796;0.847297784
r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene;114.0426127;382.51;3.632359533e6;0.367166881;0.819965353;1.71038696
1,2,4,5-tetraisopropylbenzene~|~1,2,4,5-tetrakis(1-methylethyl)benzene;246.438;703.0;1.632493459e6;0.246418652;0.809067674;3.366644893
propyl levulinate;158.197;685.0;2.694389122e6;1.279084688;0.999999593;0.925861638
phenoxathiin;200.255;918.0;4.531745891e6;0.404072704;0.814883674;1.674152719
r227ea~|~1,1,1,2,3,3,3-heptafluoropropane;170.0298221;375.0078435;2.929204036e6;0.46616775;0.818750816;1.558077719
[1s-(1.alpha.,2.beta.,5.alpha.)]-2,6,6-trimethylbicyclo[3.1.1]heptane;138.254;651.0;2.981132052e6;1.122348802;0.99995272;0.73562609
r365mfc~|~1,1,1,3,3-pentafluorobutane;148.0760158;459.9;3.21008217e6;0.491552009;0.82588499;1.551974774
(z)-2-octene~|~cis-2-octene;112.216;574.4;2.684562848e6;1.147105982;0.99714582;0.788941719
2,3-dihydrofuran;70.091;523.0;5.553223114e6;0.887716843;0.940775448;0.791776484
halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane;197.3792095;494.0;3.784910069e6;0.14960667;0.840820619;2.702327397
1,1,3-trimethylcyclopentane;112.216;564.0;2.970581895e6;0.53472322;0.83801855;1.243575468
1,2,3,5-tetrafluorobenzene;150.0756127;535.210525;3.746875411e6;1.101843946;0.999996503;0.778459331
krypton;83.798;209.470054;5.530245135e6;0.135494853;0.892790421;1.67892105
vinyl propionate~|~vinyl propanoate~|~propanoicacidethenylester;100.117;545.4;3.63248853e6;0.646761937;0.817390739;1.245630201
(e)-3-octene~|~trans-3-octene;112.216;571.0;2.68112605e6;1.05703635;0.959656307;0.857507817
2-(ethyldithio)propane;136.271;653.0;3.250085381e6;1.373709065;0.99959252;0.572565843
(e)-4,4-dimethyl-2-pentene~|~trans-4,4-dimethyl-2-pentene;98.189;527.6;3.406316659e6;0.934845032;0.931548363;0.81215009
